Name,Address,City,State,Zip,Phone,Lat,Long
Carmel Mountain Rehabilitation and Healthcare Center,11895 Avenue of Industry,San Diego,CA,92128,858-673-0101,32.9907341,-117.0762156
Carrollton Health and Rehabilitation Center,1618 Kirby Rd,Carrollton,TX,75006,972-245-1573,32.9472387,-96.9008838
Casas Adobes Post Acute Rehabilitation Center,1919 West Medical Street,Tucson,AZ,85704,520-297-8311,32.3210681,-111.0093421
Catalina Post Acute and Rehabilitation,2611 North Warren Avenue,Tucson,AZ,85719,520-795-9574,32.2549759,-110.9497217
Cedar Health and Rehabilitation,411 West 1325 North,Cedar City,UT,84721,435-586-6481,37.7005807,-113.0723564
Chandler Post Acute and Rehabilitation,2121 West Elgin Street,Chandler,AZ,85224,480-899-6717,33.2961882,-111.880147
Channel Islands Post Acute,3880 Via Lucero,Santa Barbara,CA,93110,805-687-6651,34.4423917,-119.7520243
Citadel Post Acute,5121 East Broadway Rd,Mesa,AZ,85206,480-832-5555,33.4078711,-111.7225606
City Creek Post Acute,165 South 1000 East,Salt Lake City,UT,84102,801-322-5521,40.7656101,-111.8641189
Claremont Care Center,219 East Foothill Boulevard,Pomona,CA,91767,909-593-1391,34.1078466,-117.7480349
Clarion Wellness and Rehabilitation Center,110 13th Avenue SW,Clarion,IA,50525,515-532-2893,42.7203832,-93.7366729
Cloverdale Healthcare Center,300 Cherry Creek Road,Cloverdale,CA,95425,707-894-5201,38.7961809,-123.0268293
Colonial Manor of Randolph,811 South Main Street,Randolph,NE,68771,402-337-0444,42.3706097,-97.3584866
Compass Post Acute Rehabilitation,2320 Hwy 378,Conway,SC,29527,843-397-2273,33.8434807,-79.0934319
Comprehensive Medical Laboratories,"1824 Norris Road, Suite 200",Bakersfield,CA,93308,,35.4209613,-119.0570432
Copper Ridge Health Care,3706 West 9000 South,West Jordan,UT,84088,801-280-2273,40.5883651,-111.981783
Coral Desert Rehabilitation and Care,"1490 East Foremaster Drive, Building B",Saint George,UT,84790,435-674-5195,37.0948769,-113.554125
Coronado Healthcare Center,11411 North 19th Avenue,Phoenix,AZ,85029,602-256-7500,33.5898535,-112.1012055
Creekside Transitional Care and Rehabilitation,1351 West Pine Avenue,Meridian,ID,83642,208-888-7049,43.6102538,-116.4126878
Desert Blossom Health and Rehabilitation Center,60 South 58th Street,Mesa,AZ,85206,480-832-3903,33.4137604,-111.7079931
Desert Terrace Healthcare Center,2509 North 24th Street,Phoenix,AZ,85008,602-273-1347,33.4753966,-112.0316275
Discovery Rehabilitation and Living,600 Shanafelt Street,Salmon,ID,83467,208-756-8391,45.1767598,-113.8935752
Downey Post Acute,13007 Paramount Blvd,Downey,CA,90242,562-923-9301,33.9183877,-118.1592105
Draper Rehabilitation and Care Center,12702 Fort Street,Draper,UT,84020,801-571-2704,40.5208264,-111.8676896
East View Healthcare,15880 Wallisville Road,Houston,TX,77049,281-457-6462,29.8108982,-95.1552796
Englewood Post Acute and Rehabilitation,3575 South Washington Street,Englewood,CO,80110,303-789-2265,39.6519757,-104.9818591
Ensign Services,"29222 Rancho Viejo Rd., Ste 127",San Juan Capistrano,CA,92675,949-487-9500,33.538963,-117.6747665
Falls City Nursing and Rehabilitation Center,1720 Burton Drive,Falls City,NE,68355,402-245-4466,40.062052,-95.5890979
Fort Dodge Health and Rehabilitation,728 14th Avenue N,Fort Dodge,IA,50501,515-576-7226,42.5196912,-94.1948141
Gateway Transitional Care Center,527 Memorial Drive,Pocatello,ID,83201,208-478-3333,42.8679238,-112.4341694
Glenwood Care Center,1300 North C Street,Oxnard,CA,93030,805-983-0305,34.2148471,-119.1822116
Golden Acres Living and Rehabilitation Center,2525 Centerville Road,Dallas,TX,75228,214-327-4503,32.8440445,-96.6697358
Golden Palms Rehabilitation and Retirement,2101 Treasure Hills Blvd.,Harlingen,TX,78550,956-430-3100,26.1752118,-97.6692978
Grand Terrace Rehabilitation and Healthcare,812 West Houston Avenue,McAllen,TX,78501,956-682-6331,26.1963789,-98.2316095
Granite Creek Health and Rehabilitation Center,1045 Scott Drive,Prescott,AZ,86301,928-778-9603,34.5612209,-112.47577
Granite Mesa Health Center,1404 Max Copeland Drive,Marble Falls,TX,78654,830-693-0022,30.5820163,-98.2719865
Greentree Health and Rehabilitation Center,70 West Green Tree Road,Clintonville,WI,54929,715-823-2194,44.634636,-88.7601995
Grossmont Post Acute Care,8787 Center Drive,La Mesa,CA,91942,619-460-4444,32.7813072,-117.0108667
Harrison Pointe Healthcare and Rehabilitation,3430 Harrison Boulevard,Ogden,UT,84403,801-399-5609,41.2009847,-111.950223
HealthLift Medical Transportation Company,2656 South Loop West Suite 360,Houston,TX,77054,,29.6794633,-95.4238867
Heritage Court Post Acute of Scottsdale,3339 North Drinkwater Blvd,Scottsdale,AZ,85251,480-949-5400,33.4872546,-111.9233851
Heritage Gardens Rehabilitation and Healthcare,2135 North Denton Drive,Carrollton,TX,75006,972-242-0666,32.9749439,-96.9099432
Heritage Park Healthcare and Rehabilitation,2700 West 5600 South,Roy,UT,84067,801-825-9731,41.1625574,-112.0471995
Hillcrest Health Care Center,2121 Avenue L,Hawarden,IA,51023,712-551-1074,43.0099649,-96.4830544
Holladay Healthcare Center,4782 South Holladay Boulevard,Salt Lake City,UT,84117,801-277-7002,40.6656943,-111.8236831
Horizon Post Acute and Rehabilitation Center,4704 West Diana Avenue,Glendale,AZ,85302,623-247-3949,33.5638362,-112.1634329
Hurricane Health and Rehabilitation,416 North State Street,Hurricane,UT,84737,435-635-9833,37.182698,-113.2847199
Julia Temple Healthcare Center,3401 South Lafayette Street,Englewood,CO,80113,303-761-0075,39.6546668,-104.9738909
Keystone Ridge Post Acute Nursing and Rehabilitation,7501 Keystone Drive,Omaha,NE,68134,402-572-5750,41.2992393,-96.0305996
La Canada Care Center,7970 North La Canada Drive,Tucson,AZ,85704,520-797-1191,32.3508413,-110.996913
Lake Pleasant Post Acute Rehabilitation Center,20625 North Lake Pleasant Road,Peoria,AZ,85382,623-566-0642,33.6713224,-112.2812725
Lake Village Nursing & Rehabilitation Center,169 Lake Park Road,Lewisville,TX,75057,972-436-7571,33.0722457,-97.0146279
Legacy Rehabilitation and Living,4033 West 51st Avenue,Amarillo,TX,79109,806-355-4488,35.1543382,-101.8851727
Legend Healthcare and Rehabilitation - Greenville,2300 Jack Finney Boulevard,Greenville,TX,75402,903-455-7942,33.0763415,-96.1071071
Legend Healthcare and Rehabilitation - Paris,520 SE 8th Street,Paris,TX,75460,903-737-9820,33.6565799,-95.5512074
Legend Oaks Healthcare and Rehabilitation - Ennis,1400 Medical Center Drive,Ennis,TX,75119,972-875-4800,32.3090221,-96.6415376
Legend Oaks Healthcare and Rehabilitation - Euless,900 Westpark Way,Euless,TX,76040,817-545-4071,32.8254778,-97.1267684
Legend Oaks Healthcare and Rehabilitation - Fort Worth,4240 Golden Triangle Boulevard,Fort Worth,TX,76244,817-380-6400,32.9298144,-97.295103
Legend Oaks Healthcare and Rehabilitation - Garland,2625 Belt Line Road,Garland,TX,75044,972-543-7700,32.9458015,-96.6690965
Legend Oaks Healthcare and Rehabilitation - Kyle,1640 Fairway,Kyle,TX,78640,512-268-1003,30.0214133,-97.8911499
Legend Oaks Healthcare and Rehabilitation - New Braunfels,2468 FM 1101,New Braunfels,TX,78130,830-420-6500,29.7202765,-98.0660328
Legend Oaks Healthcare and Rehabilitation - North Austin,11020 Dessau Road,Austin,TX,78754,512-873-2244,30.3696563,-97.6711506
Legend Oaks Healthcare and Rehabilitation - Waxahachie,151 Country Meadows Boulevard,Waxahachie,TX,75165,972-937-1650,32.4324831,-96.8377127
Legend Oaks Healthcare and Rehabilitation - West Houston,7107 Queenston Boulevard,Houston,TX,77095,281-463-7333,29.8804846,-95.6710912
Legend Oaks Healthcare and Rehabilitation - West San Antonio,222 Bertetti Drive,San Antonio,TX,78227,210-673-1700,29.3994411,-98.654647
Legend Oaks Healthcare and Rehabilitation of Northwest Houston,8902 West Road,Houston,TX,77064,713-849-0990,29.9035172,-95.5473941
Legend Oaks Healthcare and Rehabilitation Center - San Antonio,2003 West Hutchins Place,San Antonio,TX,78224,210-927-0800,29.3463287,-98.54181
Legend Oaks Healthcare and Rehabilitation Center Gladewater,1201 FM 2685,Gladewater,TX,75647,903-845-2175,32.5512935,-94.9788074
Lemon Grove Care and Rehabilitation Center,8351 Broadway,Lemon Grove,CA,91945,619-463-0294,32.7459197,-117.0196204
Littleton Care and Rehabilitation Center,5822 South Lowell Way,Littleton,CO,80123,303-798-2497,39.6111448,-105.036612
Lynnwood Post Acute Rehabilitation Center,5821 188th Street SW,Lynnwood,WA,98037,425-776-5512,47.8287394,-122.3144897
Magnolia Post Acute Care,635 South Magnolia Avenue,El Cajon,CA,92020,619-442-8826,32.7886751,-116.9638421
Mainplace Post Acute,1835 W. La Veta Ave.,Orange,CA,92868,714-978-6800,33.7810217,-117.8740869
Mason Creek Transitional Care of Katy,21727 Provincial Boulevard,Katy,TX,77450,281-717-1302,29.7779586,-95.7488449
McAllen Transitional Care Center,2109 South K Street,McAllen,TX,78503,956-686-9100,26.1669638,-98.2158541
McCall Rehabilitation and Care Center,418 Floyde Street,McCall,ID,83638,208-634-2112,44.9003015,-116.0966678
Meadow View Nursing and Rehabilitation,46 North Midland Boulevard,Nampa,ID,83651,208-466-7803,43.5791312,-116.5944544
Medallion Post Acute Rehabilitation,1719 East Bijou Street,Colorado Springs,CO,80909,719-381-1000,38.8352166,-104.7972813
Medical Transportation Company,2440 West Ruthrauff Road Suite 170,Tucson,AZ,85705,520-999-8900,32.2957789,-111.0210935
MedStar Medical Transportation Company,1827 W. 3rd Street,Tempe,AZ,85281,480-659-6807,33.4271608,-111.9697836
Mesa Springs Healthcare Center,7171 Buffalo Gap Road,Abilene,TX,79606,325-692-8080,32.3632361,-99.7816253
Millennium Post Acute Rehabilitation,2416 Sunset Blvd,West Columbia,SC,29169,803-796-8024,34.0035787,-81.1087567
Mission Care Center,4800 Delta Avenue,Rosemead,CA,91770,626-607-2400,34.0910932,-118.0884469
Mission Hills Post Acute Care,3680 Reynard Way,San Diego,CA,92103,619-297-4484,32.7449314,-117.1743878
Misty Willow Healthcare and Rehabilitation Center,12921 Misty Willow Drive,Houston,TX,77070,281-469-7881,29.9603655,-95.5589314
Monte Vista Hills Healthcare Center,1071 Renee Avenue,Pocatello,ID,83201,208-233-1411,42.8943949,-112.4344118
Montecito Post Acute Care and Rehabilitation,51 South 48th Street,Mesa,AZ,85206,480-832-8333,33.4143248,-111.7292756
Mountain View Care Center,1313 West Magee Road,Tucson,AZ,85704,520-797-2600,32.3508939,-110.9956037
Mountain View Rehabilitation & Care Center,5925 47th Avenue NE,Marysville,WA,98270,360-659-1259,48.0493737,-122.1713751
Mt. Ogden Health and Rehabilitation Center,375 East 5350 South,Washington Terrace,UT,84405,801-479-5700,41.1658363,-111.9738603
New England Medical Transportation,"1111 Elm Street, Suite 5",West Springfield,MA,1089,,42.1189038,-72.6306524
North Mountain Medical & Rehabilitation Center,9155 North 3rd Street,Phoenix,AZ,85020,602-218-9483,33.5694844,-112.0710174
Northbrook Healthcare Center,64 Northbrook Way,Willits,CA,95490,707-459-5592,39.415699,-123.3632964
Northeast Rehabilitation and Healthcare Center,603 Corinne Drive,San Antonio,TX,78218,210-824-7331,29.4931512,-98.4286217
Northern Oaks Living & Rehabilitation Center,2722 Old Anson Road,Abilene,TX,79603,325-676-1677,32.484031,-99.7494137
Oceanview Healthcare and Rehabilitation,519 Ninth Avenue North,Texas City,TX,77590,409-949-9499,29.3927514,-94.9037993
Olympia Transitional Care and Rehabilitation,430 Lilly Road NE,Olympia,WA,98506,360-491-9700,47.053172,-122.8437088
Omaha Nursing and Rehabilitation Center,4835 South 49th Street,Omaha,NE,68117,402-733-7200,41.2104168,-95.9901146
Opus Post Acute Rehabilitation,300 Agape Drive,West Columbia,SC,29169,803-739-5282,33.9895486,-81.1132629
Orem Rehabilitation and Nursing Center,575 East 1400 South,Orem,UT,84097,801-225-4741,40.272041,-111.6838494
Osborn Health and Rehabilitation,3333 North Civic Center Plaza,Scottsdale,AZ,85251,480-994-1333,33.4863258,-111.9229312
Owyhee Health and Rehabilitation Center,108 West Owyhee Avenue,Homedale,ID,83628,208-337-3168,43.6190108,-116.9391492
Pacific Care and Rehabilitation,3035 Cherry Street,Hoquiam,WA,98550,360-532-7882,46.9774327,-123.8567969
Pacific Mobile Diagnostics,615 East Palo Verde Drive,Phoenix,AZ,85012,602-249-4790,33.5216104,-112.0681133
Pacific Mobile Diagnostics,826 East 78th Avenue,Denver,CO,80229,303-296-1900,39.8377089,-104.9785797
Pacific Mobile Diagnostics,"9571 South 700 East, S Suite 101",Sandy,UT,84070,801-503-0502,40.5777216,-111.8735533
Palm Terrace Healthcare and Rehabilitation Center,24962 Calle Aragon,Laguna Woods,CA,92637,949-587-9000,33.5991357,-117.7176473
Palomar Vista Healthcare Center,201 North Fig Street,Escondido,CA,92025,760-746-0303,33.1260136,-117.0760346
Panorama Gardens Nursing & Rehabilitation Center,9541 Van Nuys Boulevard,Panorama City,CA,91402,818-893-6385,34.2440509,-118.4529069
Paramount Health and Rehabilitation,4035 South 500 East,Salt Lake City,UT,84107,801-262-9181,40.6840613,-111.8787065
Park Avenue Health and Rehabilitation,2001 North Park Avenue,Tucson,AZ,85719,520-882-6151,32.2460811,-110.959519
Park Manor Rehabilitation Center,1710 Plaza Way,Walla Walla,WA,99362,509-529-4218,46.047528,-118.3489714
Park View Post Acute,3751 Montgomery Drive,Santa Rosa,CA,95405,707-525-1250,38.4533639,-122.6782383
Parke View Rehabilitation & Care Center,2303 Parke Avenue,Burley,ID,83318,208-677-3073,42.5243559,-113.8036449
Parklane West Healthcare Center,2 Towers Park Lane,San Antonio,TX,78209,210-841-7741,29.464253,-98.4486736
Parkside Health and Wellness Center,444 West Lexington Avenue,El Cajon,CA,92020,619-442-7744,32.7929317,-116.9694393
Peoria Post Acute and Rehabilitation,13215 North 94th Drive,Peoria,AZ,85381,623-933-7722,33.604312,-112.2640587
Phoenix Mountain Post Acute,13232 N. Tatum Blvd.,Phoenix,AZ,85032,602-996-5200,33.6063265,-111.9824187
Pinnacle Nursing and Rehabilitation Center,1340 East 300 North,Price,UT,84501,435-637-9213,39.6036127,-110.8002262
Pointe Meadows Health and Rehabilitation,2750 North Digital Drive,Lehi,UT,84043,385-374-5600,40.4176933,-111.8759253
Premier Care Center for Palm Springs,2990 East Ramon Road,Palm Springs,CA,92264,760-323-2638,33.8165963,-116.5155703
Provo Rehabilitation and Nursing,1001 North 500 West,Provo,UT,84604,801-377-9661,40.246945,-111.6709086
Pueblo Springs Rehabilitation Center,5545 East Lee Street,Tucson,AZ,85712,520-296-2306,32.2423437,-110.8773182
Rainier Rehabilitation,920 12th Avenue SE,Puyallup,WA,98372,253-841-3422,47.179978,-122.2838572
Redmond Care and Rehabilitation Center,7900 Willows Road NE,Redmond,WA,98052,425-885-0808,47.6746917,-122.1372884
Rehabilitation Center of Des Moines,701 Riverview Street,Des Moines,IA,50316,,41.60348,-93.6120575
Richland Hills Rehabilitation and Healthcare Center,3109 Kings Court,Fort Worth,TX,76118,817-589-2431,32.8070897,-97.2381052
Rio Vista Post Acute and Rehabilitation,10323 West Olive Avenue,Peoria,AZ,85345,623-875-0100,33.5649959,-112.2986678
Riverbend Post Acute Rehabilitation,7850 Freeman Ave.,Kansas City,KS,66112,,39.1229465,-94.7644306
River's Edge Rehabilitation & Living Center,714 North Butte Avenue,Emmett,ID,83617,208-365-4425,43.8814526,-116.4876369
Riverwalk Post Acute and Rehabilitation,1610 Scranton Ave,Pueblo,CO,81004,719-564-0550,38.2400514,-104.6419375
Rock Canyon Respiratory and Rehabilitation Center,2515 Pitman Place,Pueblo,CO,81004,719-564-0550,38.2400734,-104.6430253
Rock Creek of Ottawa,1100 West 15th Street,Ottawa,KS,66067,785-242-5399,38.5926301,-95.284551
Rock Hill Post Acute Care Center,159 Sedgewood Dr.,Rock Hill,SC,29732,803-329-6565,34.9506193,-81.0409571
Rose Villa Healthcare Center,9028 Rose Street,Bellflower,CA,90706,562-925-4252,33.8692446,-118.1434862
Rosewood Rehabilitation Center,2045 Silverada Boulevard,Reno,NV,89512,775-359-3161,39.548998,-119.7861336
Sabino Canyon Rehabilitation & Care Center,5830 East Pima Street,Tucson,AZ,85712,520-722-5515,32.243067,-110.869914
San Marcos Rehabilitation and Healthcare Center,1600 North Interstate 35,San Marcos,TX,78666,512-353-5026,29.8934559,-97.9124907
Sea Cliff Healthcare Center,18811 Florida Street,Huntington Beach,CA,92648,714-847-3515,33.6891259,-117.9938521
Shawnee Post Acute Rehabilitation Center,"7600 Antioch Road,",Overland Park,KS,66204,913-383-2001,38.9921544,-94.6899538
Shea Post Acute Rehabilitation Center,11150 North 92nd Street,Scottsdale,AZ,85258,480-860-1766,33.5864978,-111.8857829
Shoreline Healthcare Center,4029 East Anaheim Street,Long Beach,CA,90804,562-494-4421,33.7830372,-118.1469715
Sloan's Lake Rehabilitation Center,1601 N. Lowell Boulevard,Denver,CO,80204,303-534-2211,39.7430796,-105.0373373
Somerset Subacute and Care,151 Claydelle Avenue,El Cajon,CA,92020,619-442-0245,32.794157,-116.9602485
Sonterra Health Center,18514 Sonterra Place,San Antonio,TX,78258,210-545-4800,29.6125926,-98.4995555
South Bay Post Acute Care,553 F.  Street,Chula Vista,CA,91910,619-426-8611,32.638768,-117.092951
South Mountain Post Acute,8008 South Jesse Owens Parkway,Phoenix,AZ,85042,602-243-2780,33.3738943,-112.0709866
Southland Care Center,11701 Studebaker Road,Norwalk,CA,90650,562-868-9761,33.9261474,-118.1022489
Southland Rehabilitation and Healthcare Center,501 North Medford Drive,Lufkin,TX,75901,936-639-1252,31.3402,-94.694468
St. Elizabeth Healthcare and Rehabilitation,2800 N. Harbor Blvd.,Fullerton,CA,92835,714-871-9202,33.9027012,-117.9309148
St. George Rehabilitation,1032 East 100 South,St. George,UT,84770,435-628-0488,37.1060115,-113.5635996
St. Joseph Villa,451 East Bishop Federal Lane,Salt Lake City,UT,84115,801-487-7557,40.7279477,-111.8794545
Stillhouse Rehabilitation and Healthcare Center,2900 Stillhouse Road,Paris,TX,75462,903-785-1601,33.691642,-95.539345
Summerfield HealthCare Center,1280 Summerfield Road,Santa Rosa,CA,95405,707-539-1515,38.4455736,-122.6662683
Sun West Choice Healthcare and Rehabilitation,14002 West Meeker Blvd.,Sun City West,AZ,85375,623-584-6161,33.6595009,-112.3653236
Sunview Respiratory and Rehabilitation,12207 North 113th Avenue,Youngtown,AZ,85363,623-977-6532,33.5957933,-112.304374
Surprise Health and Rehabilitation Center,14660 W. Parkwood Drive,Surprise,AZ,85374,,33.6492943,-112.3782372
Temple View Transitional Care Center,660 South 2nd West,Rexburg,ID,83440,208-356-0220,43.8125673,-111.7927051
The Courtyard Rehabilitation and Healthcare Center,3401 East Airline Road,Victoria,TX,77901,361-573-2467,28.8250798,-96.9717792
The Cove at La Jolla,7160 Fay Avenue,La Jolla,CA,92037,858-459-4361,32.835968,-117.2750067
The Grove Care and Wellness,3401 Lemon Street,Riverside,CA,92501,951-686-8202,33.9845584,-117.3721449
The Healthcare Resort of Colorado Springs,2818 Grand Vista Circle,Colorado Springs,CO,80904,719-632-7000,38.871628,-104.8579573
The Healthcare Resort of Kansas City,8900 Parallel Parkway,Kansas City,KS,66112,913-788-2100,39.1293739,-94.7887589
The Healthcare Resort of Leawood,5401 West 143rd St.,Leawood,KS,66224,913-249-3600,38.8682782,-94.6503576
The Healthcare Resort of Olathe,21250 W. 151st Street,Olathe,KS,66061,913-390-0444,38.8554747,-94.8335953
The Healthcare Resort of Plano,3325 W Plano Parkway,Plano,TX,75075,972-379-0000,33.0112992,-96.7584047
The Healthcare Resort of Topeka,6300 Southwest 6th Ave,Topeka,KS,66615,785-272-2124,39.0591127,-95.7720862
The Hills Post Acute,1800 Old Tustin Ave.,Santa Ana,CA,92705,714-835-4900,33.7613472,-117.8385737
The Garrison Geriatric Education and Care Center,3710 4th Street,Lubbock,TX,79415,806-763-4455,33.5932737,-101.8958289
The Orchard Post Acute Care,12385 East Washington Boulevard,Whittier,CA,90606,562-693-7701,33.9681215,-118.051855
The Pines Post Acute and Memory Care,1625 East Main Street,Clintonville,WI,54929,715-823-3135,44.6769892,-88.6824905
The Springs at Pacific Regent La Jolla,3884 Nobel Drive,San Diego,CA,92122,858-625-8700,32.8688118,-117.2250522
The Terrace at Mt. Ogden,400 East 5350 South,Ogden,UT,84405,801-479-9855,41.1667688,-111.9731595
The Villages of Dallas,550 East Ann Arbor Avenue,Dallas,TX,75216,214-376-1701,32.6913187,-96.8254796
The Villas at Sunny Acres,2501 East 104th Avenue,Thornton,CO,80233,303-255-4100,39.8875049,-104.9574334
Timberwood Nursing & Rehabilitation Center,4001 Highway 59 North,Livingston,TX,77351,936-327-4446,30.7549257,-94.9157192
Town & Country Diagnostics,"3745 West Caldwell, Suite C",Visalia,CA,93277,559-734-0822,36.2980261,-119.3345559
Town and Country Diagnostics,"23297 S. Pointe Dr, Ste. 120",Laguna Hills,CA,92653,,33.6259715,-117.7253747
Town and Country Diagnostics II,7313 Carroll Rd. #C,San Diego,CA,92121,,32.8852277,-117.1667202
Ukiah Post Acute,1349 South Dora Street,Ukiah,CA,95482,707-462-8864,39.1302773,-123.210387
Upland Rehabilitation and Care Center,1221 East Arrow Highway,Upland,CA,91786,909-985-1903,34.1006008,-117.6373137
Valley of the Moon Post Acute,347 Andrieux Street,Sonoma,CA,95476,707-935-5000,38.2881503,-122.4678763
Veranda Rehabilitation and Healthcare,4301 South Expressway 83,Harlingen,TX,78550,956-423-4959,26.1627718,-97.6857429
Victoria Care Center,5445 Everglades Street,Ventura,CA,93003,805-642-1736,34.2591491,-119.2187587
Victoria Healthcare and Rehabilitation Center,340 Victoria Street,Costa Mesa,CA,92627,949-642-0387,33.6531043,-117.9160584
Victoria Post Acute Care,654 South Anza Street,El Cajon,CA,92020,619-440-5005,32.7889261,-116.9511436
Victory EMS,655 North Five Mile Road,Boise,ID,83713,208-401-1400,43.6107418,-116.317021
Villa Maria Post Acute,425 E. Barcellus Ave.,Santa Maria,CA,93454,805-922-3558,34.9369871,-120.4325955
Village Healthcare and Rehabilitation,615 North Ware Road,McAllen,TX,78501,956-664-8900,26.213362,-98.263406
Vista Knoll Specialized Care,2000 Westwood Road,Vista,CA,92083,760-630-2273,33.1914627,-117.2870903
Wayne Countryview Care and Rehabilitation,811 East 14th Street,Wayne,NE,68787,402-375-1922,42.2418417,-97.0086082
Wellington Rehabilitation and Healthcare,1802 South 31st Street,Temple,TX,76504,254-778-4231,31.0834115,-97.36659
West Bend Health and Rehabilitation,203 4th Street NW,West Bend,IA,50597,515-887-4071,42.9663065,-94.4655501
Whittier Hills Healthcare Center,10426 Bogardus Avenue,Whittier,CA,90602,562-947-7817,33.941734,-117.9850677
Wide Horizons Intermediate Care Facility,910 Monroe Boulevard,Ogden,UT,84404,801-399-5876,41.2478746,-111.9563692
Willowbend Nursing & Rehabilitation Center,2231 Highway 80 East,Mesquite,TX,75150,972-279-3601,32.7941574,-96.6335591
Wisteria Place,3202 South Willis Street,Abilene,TX,79605,325-695-6145,32.4113234,-99.7688375
